collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,baseballWebsiteUrl
cmou7g4yd00erqtkwsinl2cv7,Canisius University,canisius-university,Buffalo,NY,,cmou7g4z200etqtkw6aq7y21m,NCAA_D1,,MAAC,https://gogriffs.com/sports/baseball
cmorihuy70003qth8lteegu87,Clemson University,clemson-university,Clemson,SC,,cmorihuzp0005qth8tz9l0qy6,NCAA_D1,,ACC,https://clemsontigers.com/sports/baseball/
cmou3xres006rqt5sroo5bttq,Colorado State University,colorado-state-university,Fort Collins,CO,,cmou3xrff006tqt5spdnjoc3d,NCAA_D1,,Mountain West,
cmou7ekoe00e6qtx8h6vtazjr,Columbia University,columbia-university,New York,NY,,cmou7ekp200e8qtx8qlpcfsh3,NCAA_D1,,Ivy League,https://gocolumbialions.com/sports/baseball
cmou7ekpr00e9qtx8i7bf3vt3,Cornell University,cornell-university,Ithaca,NY,,cmou7ekqf00ebqtx86ws3y8rp,NCAA_D1,,Ivy League,https://cornellbigred.com/sports/baseball
cmou6ba2k00afqticpp034jhc,Creighton University,creighton-university,Omaha,NE,,cmou6ba3a00ahqtic1dy2e7bu,NCAA_D1,,Big East,https://gocreighton.com/sports/baseball
cmou7ekr400ecqtx87gfarbw6,Dartmouth College,dartmouth-college,Hanover,NH,,cmou7ekrs00eeqtx85mv4aiw4,NCAA_D1,,Ivy League,https://dartmouthsports.com/sports/baseball
cmou65q5g008fqt1ovrpzk161,Davidson College,davidson-college,Davidson,NC,,cmou65q68008hqt1on0mn17uq,NCAA_D1,,Atlantic 10,https://davidsonwildcats.com/sports/baseball
cmou7v13900goqtfg05v8bfsa,Delaware State University,delaware-state-university,Dover,DE,,cmou7v14000gqqtfg74wzxd9d,NCAA_D1,,MEAC,https://dsuhornets.com/sports/baseball
cmoriruy1000lqtm0hg80trqj,Duke University,duke-university,Durham,NC,,cmoriruyp000nqtm0g4gkgqwd,NCAA_D1,,ACC,https://goduke.com/sports/baseball
