label,entityType,sourceSchema,sourceTable,sourceColumn,duplicateId,duplicateName,duplicateReferenceCount,canonicalId,canonicalName,canonicalReferenceCount,duplicateSlug,duplicateDivision,duplicateConference,duplicateWebsite,duplicateCoachCount,canonicalSlug,canonicalDivision,canonicalConference,canonicalWebsite,canonicalCoachCount
Coker,SUMMARY,,,,cmovlhtk1004xqt20njtti1j5,Coker,1,cmorj0go50029qtiomu7nhxok,Coker University,32,coker,NCAA_D2,SAC,,0,coker-university,NCAA_D2,South Atlantic Conference,https://cokercobras.com/sports/baseball,0
Emory & Henry,College,public,CollegeAcademicArea,collegeId,cmovlhu5k0066qt20yvdrbs5z,Emory & Henry,0,cmorj0hct003oqtioizpyiqxx,Emory & Henry University,16,,,,,,,,,,
Emory & Henry,College,public,CollegeBaseballProgram,collegeId,cmovlhu5k0066qt20yvdrbs5z,Emory & Henry,1,cmorj0hct003oqtioizpyiqxx,Emory & Henry University,1,,,,,,,,,,
Emory & Henry,SUMMARY,,,,cmovlhu5k0066qt20yvdrbs5z,Emory & Henry,1,cmorj0hct003oqtioizpyiqxx,Emory & Henry University,17,emory-and-henry,NCAA_D2,SAC,,0,emory-and-henry-university,NCAA_D2,South Atlantic Conference,https://gowasps.com/sports/baseball,0
Erskine,College,public,CollegeAcademicArea,collegeId,cmovlhu8d006cqt20t8ma9i8s,Erskine,0,cmorj0gr0002fqtioji2wprxy,Erskine College,5,,,,,,,,,,
Erskine,College,public,CollegeBaseballProgram,collegeId,cmovlhu8d006cqt20t8ma9i8s,Erskine,1,cmorj0gr0002fqtioji2wprxy,Erskine College,1,,,,,,,,,,
Erskine,SUMMARY,,,,cmovlhu8d006cqt20t8ma9i8s,Erskine,1,cmorj0gr0002fqtioji2wprxy,Erskine College,6,erskine,NCAA_D2,Carolinas,,0,erskine-college,NCAA_D2,Conference Carolinas,https://erskinesports.com/sports/baseball,0
Francis Marion,College,public,CollegeAcademicArea,collegeId,cmovlhul10073qt20e1oaptq8,Francis Marion,0,cmorj0gpl002cqtiopcsyaeuv,Francis Marion University,29,,,,,,,,,,
Francis Marion,College,public,CollegeBaseballProgram,collegeId,cmovlhul10073qt20e1oaptq8,Francis Marion,1,cmorj0gpl002cqtiopcsyaeuv,Francis Marion University,1,,,,,,,,,,
Francis Marion,College,public,CollegeSavedSchool,collegeId,cmovlhul10073qt20e1oaptq8,Francis Marion,0,cmorj0gpl002cqtiopcsyaeuv,Francis Marion University,1,,,,,,,,,,
Francis Marion,SUMMARY,,,,cmovlhul10073qt20e1oaptq8,Francis Marion,1,cmorj0gpl002cqtiopcsyaeuv,Francis Marion University,31,francis-marion,NCAA_D2,Carolinas,,0,francis-marion-university,NCAA_D2,Conference Carolinas,https://fmupatriots.com/sports/baseball,0
Georgia Gwinnett,College,public,CollegeAcademicArea,collegeId,cmox0660w004oqtgccsrumrzc,Georgia Gwinnett,0,cmorj0h8n003fqtio2cfy431r,Georgia Gwinnett College,4,,,,,,,,,,
