programId,collegeId,collegeName,slug,division,previousBaseballWebsiteUrl,restoredBaseballWebsiteUrl,confidence,sourceContactUrl,coachCount,action,reason
cmosun0c10058qtlgn2wdysws,cmosun0bd0056qtlg87u13vxx,UCF,ucf,NCAA_D1,,https://ucfknights.com/sports/baseball,HIGH,https://ucfknights.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmossumqt003zqtpgyjdtn02c,cmossumq5003xqtpgz2376dpb,UCLA,ucla,NCAA_D1,,https://uclabruins.com/sports/baseball,HIGH,https://uclabruins.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou6tv9900bqqti0wabo0574,cmou6tv8i00boqti0vjvm8aer,UNC Asheville,unc-asheville,NCAA_D1,,https://uncabulldogs.com/sports/baseball,HIGH,https://uncabulldogs.com/sports/baseball/roster/2026#sidearm-roster-coaches,2,WOULD_UPDATE,
cmou6tvap00btqti0249q1z1i,cmou6tv9y00brqti0h1og2mt7,USC Upstate,usc-upstate,NCAA_D1,,https://upstatespartans.com/sports/baseball,HIGH,https://upstatespartans.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou57e6p007kqtdwt7q4s4pg,cmou57e5s007iqtdwb3g795nq,University of Alabama at Birmingham,university-of-alabama-at-birmingham,NCAA_D1,,https://uabsports.com/sports/baseball,HIGH,https://uabsports.com/sports/baseball/roster/2026#sidearm-roster-coaches,5,WOULD_UPDATE,
cmosownle0005qtuo0gwfge3i,cmosownko0003qtuom8wxpo9s,University of California Berkeley,university-of-california-berkeley,NCAA_D1,,https://calbears.com/sports/baseball,HIGH,https://calbears.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmou6928r009kqt1gue4f9xf1,cmou69282009iqt1gxj2iub11,University of Central Arkansas,university-of-central-arkansas,NCAA_D1,,https://ucasports.com/sports/baseball,HIGH,https://ucasports.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
cmosun032004nqtlg3uum11pe,cmosun02f004lqtlg6en5evwj,University of Cincinnati,university-of-cincinnati,NCAA_D1,,https://gobearcats.com/sports/baseball,HIGH,https://gobearcats.com/sports/baseball/coaches/2025,4,WOULD_UPDATE,
cmou6ba1v00aeqticcud1v7g6,cmou6ba1700acqtict3598yzg,University of Connecticut,university-of-connecticut,NCAA_D1,,https://uconnhuskies.com/sports/baseball,HIGH,https://uconnhuskies.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou65q7u008kqt1ooxam21og,cmou65q73008iqt1o6zbgwgae,University of Dayton,university-of-dayton,NCAA_D1,,https://daytonflyers.com/sports/baseball,HIGH,https://daytonflyers.com/sports/baseball/coaches/2026,4,WOULD_UPDATE,
