slug,collegeName,highConfidenceAreas,mediumConfidenceAreas,lowConfidenceAreas,writeAreas,matchedCount,writeCount,sourceUrl,writeStatus
university-of-wisconsin-la-crosse,University of Wisconsin-La Crosse,Art|Art History|Athletic Training|Biochemistry|Biology|Business|Business Analytics|Chemistry|Computer Engineering|Computer Science|Criminal Justice|Cybersecurity|Data Science|Digital Media|Economics|Education|Engineering|English|Environmental Science|Exercise Physiology|Finance|History|Information Systems|Information Technology|International Business|Kinesiology|Management|Marketing|Mathematics|Media Studies|Music|Neuroscience|Nursing|Nutrition|Occupational Therapy|Philosophy|Physical Therapy|Physics|Political Science|Pre-Dentistry|Pre-Law|Pre-Pharmacy|Pre-Physical Therapy|Psychology|Public Administration|Public Health|Sociology|Software Engineering|Statistics|Theater,Accounting|Actuarial Science|Data Analytics|Human Services|Literature|Sport Management|Sports Management|Visual Arts,Biotechnology|Human Resources|Performing Arts,Art|Art History|Athletic Training|Biochemistry|Biology|Business|Business Analytics|Chemistry|Computer Engineering|Computer Science|Criminal Justice|Cybersecurity|Data Science|Digital Media|Economics|Education|Engineering|English|Environmental Science|Exercise Physiology|Finance|History|Information Systems|Information Technology|International Business|Kinesiology|Management|Marketing|Mathematics|Media Studies|Music|Neuroscience|Nursing|Nutrition|Occupational Therapy|Philosophy|Physical Therapy|Physics|Political Science|Pre-Dentistry|Pre-Law|Pre-Pharmacy|Pre-Physical Therapy|Psychology|Public Administration|Public Health|Sociology|Software Engineering|Statistics|Theater|Accounting|Actuarial Science|Data Analytics|Human Services|Literature|Sport Management|Sports Management|Visual Arts,61,58,https://www.uwlax.edu/academics,WRITTEN
university-of-wisconsin-oshkosh,University of Wisconsin-Oshkosh,Business|Education|Nursing,,Engineering|Human Services|Mathematics,Business|Education|Nursing,6,3,https://www.uwosh.edu/academics,WRITTEN
university-of-wisconsin-platteville,University of Wisconsin-Platteville,,Agriculture|Art|Business|Education|Engineering,Mathematics|Public Relations,Agriculture|Art|Business|Education|Engineering,7,5,https://www.uwplatt.edu,WRITTEN
university-of-wisconsin-river-falls,University of Wisconsin-River Falls,Business|Education,Agriculture,Communications|Finance,Business|Education|Agriculture,5,3,https://www.uwrf.edu/academics,WRITTEN
university-of-wisconsin-stevens-point,University of Wisconsin-Stevens Point,Animal Science|Art|Art History|Athletic Training|Biochemistry|Biology|Biotechnology|Business|Chemistry|Economics|Education|English|Health Sciences|History|Management|Mathematics|Music|Performing Arts|Physics,Accounting|Communications|Computer Science|Engineering|Finance|Graphic Design|Human Resources|Marketing|Philosophy|Political Science,Agriculture|Architecture|Data Analytics|Data Science|Emergency Management|Human Services|Information Technology|Media Studies|Nursing|Nutrition|Physical Therapy|Psychology|Social Work|Sociology,Animal Science|Art|Art History|Athletic Training|Biochemistry|Biology|Biotechnology|Business|Chemistry|Economics|Education|English|Health Sciences|History|Management|Mathematics|Music|Performing Arts|Physics|Accounting|Communications|Computer Science|Engineering|Finance|Graphic Design|Human Resources|Marketing|Philosophy|Political Science,43,29,https://www.uwsp.edu/academics,WRITTEN
university-of-wisconsin-stout,University of Wisconsin-Stout,Art|Business|Communications|Education|Engineering|Nutrition,Biology|Computer Science|Game Design|Health Sciences|Information Technology|Literature|Management|Marketing|Mathematics|Performing Arts|Pre-Law|Statistics,Biochemistry|Biotechnology|Chemistry|Construction Management|Cybersecurity|Finance|Graphic Design|Human Services|Kinesiology|Philosophy|Physics|Psychology,Art|Business|Communications|Education|Engineering|Nutrition|Biology|Computer Science|Game Design|Health Sciences|Information Technology|Literature|Management|Marketing|Mathematics|Performing Arts|Pre-Law|Statistics,30,18,https://www.uwstout.edu/academics,WRITTEN
university-of-wisconsin-superior,University of Wisconsin-Superior,Education|Music,Business|History|Social Work,,Education|Music|Business|History|Social Work,5,5,https://www.uwsuper.edu/academics,WRITTEN
university-of-wisconsin-whitewater,University of Wisconsin-Whitewater,,,,,0,0,,NO_WRITABLE_MATCHES
university-of-wyoming,University of Wyoming,Business|Education,Agriculture|Art|Criminal Justice|Engineering|Health Sciences,,Business|Education|Agriculture|Art|Criminal Justice|Engineering|Health Sciences,7,7,https://www.uwyo.edu/academics,WRITTEN
university-of-the-incarnate-word,University of the Incarnate Word,,Business|Education|Engineering|Mathematics|Nursing,,Business|Education|Engineering|Mathematics|Nursing,5,5,https://www.uiw.edu/academics,WRITTEN
university-of-the-ozarks-arkansas,University of the Ozarks (Arkansas),,Agriculture|Business|Graphic Design|History|Marketing|Public Relations,Nursing,Agriculture|Business|Graphic Design|History|Marketing|Public Relations,7,6,https://www.ozarks.edu/academics,WRITTEN
university-of-the-pacific,University of the Pacific,Accounting|Art|Art History|Biochemistry|Business|Business Analytics|Chemistry|Civil Engineering|Computer Engineering|Computer Science|Criminal Justice|Data Science|Economics|Education|Engineering|English|Entrepreneurship|Film Studies|Finance|Graphic Design|History|Human Resources|International Relations|Management|Marketing|Mathematics|Mechanical Engineering|Music|Philosophy|Physics|Political Science|Pre-Law|Pre-Pharmacy|Psychology|Public Health|Sociology,Biotechnology|Electrical Engineering|Hospitality|Hospitality Management|Literature|Pre-Dentistry|Public Relations|Social Work|Sport Management|Sports Management,Digital Media|Health Sciences|Theater,Accounting|Art|Art History|Biochemistry|Business|Business Analytics|Chemistry|Civil Engineering|Computer Engineering|Computer Science|Criminal Justice|Data Science|Economics|Education|Engineering|English|Entrepreneurship|Film Studies|Finance|Graphic Design|History|Human Resources|International Relations|Management|Marketing|Mathematics|Mechanical Engineering|Music|Philosophy|Physics|Political Science|Pre-Law|Pre-Pharmacy|Psychology|Public Health|Sociology|Biotechnology|Electrical Engineering|Hospitality|Hospitality Management|Literature|Pre-Dentistry|Public Relations|Social Work|Sport Management|Sports Management,49,46,https://www.pacific.edu/majors,WRITTEN
