collegeId,collegeName,slug,city,state,legacyDivision,canonicalDivision,legacyConference,canonicalConference,baseballWebsiteUrl,importedCoachCount
cmou6ba1700acqtict3598yzg,University of Connecticut,university-of-connecticut,Storrs,CT,,NCAA_D1,,,https://uconnhuskies.com/sports/baseball,4
cmou65q73008iqt1o6zbgwgae,University of Dayton,university-of-dayton,Dayton,OH,,NCAA_D1,,,https://daytonflyers.com/sports/baseball,4
cmou7wkb700h6qt5s0alseljc,University of Evansville,university-of-evansville,Evansville,IN,,NCAA_D1,,Missouri Valley,https://gopurpleaces.com/sports/baseball,4
cmosp9qf2001lqtyghnsfqgxe,University of Florida,university-of-florida,Gainesville,FL,,NCAA_D1,,SEC,https://floridagators.com/sports/baseball,4
cmorirv7r0016qtm0u7tt6h9b,University of Georgia,university-of-georgia,Athens,GA,,NCAA_D1,,SEC,https://georgiadogs.com/sports/baseball,4
cmosun03o004oqtlgjeqvedtg,University of Houston,university-of-houston,Houston,TX,,NCAA_D1,,,https://uhcougars.com/sports/baseball,4
cmoss3uby002oqtao54kmml5m,University of Illinois,university-of-illinois,Champaign,IL,,NCAA_D1,,,https://fightingillini.com/sports/baseball,4
cmou7wkcm00h9qt5s8asylqbg,University of Illinois Chicago,university-of-illinois-chicago,Chicago,IL,,NCAA_D1,,Missouri Valley,https://uicflames.com/sports/baseball,3
cmoss3uew002uqtao33d0b37y,University of Iowa,university-of-iowa,Iowa City,IA,,NCAA_D1,,,https://hawkeyesports.com/sports/baseball,4
cmosun04x004rqtlgmuopyesz,University of Kansas,university-of-kansas,Lawrence,KS,,NCAA_D1,,,https://kuathletics.com/sports/baseball,4
cmosp9qho001rqtyg0963f2ul,University of Kentucky,university-of-kentucky,Lexington,KY,,NCAA_D1,,SEC,https://ukathletics.com/sports/baseball,4
cmou3bzp7006oqtvos9t9rqg2,University of Louisiana Monroe,university-of-louisiana-monroe,Monroe,LA,,NCAA_D1,,Sun Belt,https://ulmwarhawks.com/sports/baseball,4
cmou3bzf30063qtvo9lhvxev8,University of Louisiana at Lafayette,university-of-louisiana-at-lafayette,Lafayette,LA,,NCAA_D1,,Sun Belt,https://ragincajuns.com/sports/baseball,4
cmosownru000iqtuo4o7sl6mq,University of Louisville,university-of-louisville,Louisville,KY,,NCAA_D1,,,https://gocards.com/sports/baseball,4
cmoss3uga002xqtaoeu7linqc,University of Maryland,university-of-maryland,College Park,MD,,NCAA_D1,,,https://umterps.com/sports/baseball,4
cmou7v14r00grqtfgqko66ld4,University of Maryland Eastern Shore,university-of-maryland-eastern-shore,Princess Anne,MD,,NCAA_D1,,MEAC,https://umeshawksports.com/sports/baseball,3
cmou65qcx008uqt1ofivi6ige,University of Massachusetts Amherst,university-of-massachusetts-amherst,Amherst,MA,,NCAA_D1,,MAC,https://umassathletics.com/sports/baseball,3
cmou57ece007uqtdws2374kvt,University of Memphis,university-of-memphis,Memphis,TN,,NCAA_D1,,,https://gotigersgo.com/sports/baseball,4
cmosowntd000lqtuoyvr4xd0q,University of Miami,university-of-miami,Coral Gables,FL,,NCAA_D1,,,https://miamihurricanes.com/sports/baseball,4
cmoss3uhm0030qtaobbllk1g1,University of Michigan,university-of-michigan,Ann Arbor,MI,,NCAA_D1,,,https://mgoblue.com/sports/2017/6/28/baseball-coaches,4
cmoss3ukd0036qtao5inxhdyw,University of Minnesota,university-of-minnesota,Minneapolis,MN,,NCAA_D1,,,https://gophersports.com/sports/baseball,4
cmosp9qk8001xqtygdf9x52ry,University of Mississippi,university-of-mississippi,Oxford,MS,,NCAA_D1,,SEC,https://olemisssports.com/sports/baseball,4
cmosp9qmw0023qtygkzxzqlg0,University of Missouri,university-of-missouri,Columbia,MO,,NCAA_D1,,SEC,https://mutigers.com/sports/baseball,5
cmoss3ulp0039qtaosklsgdir,University of Nebraska,university-of-nebraska,Lincoln,NE,,NCAA_D1,,,https://huskers.com/sports/baseball,4
cmou7y6mp00i3qtoc5mm3t20o,University of Nevada Las Vegas,university-of-nevada-las-vegas,Las Vegas,NV,,NCAA_D1,,Mountain West,https://unlvrebels.com/sports/baseball,3
cmou7y6o400i6qtocedeswv8d,University of Nevada Reno,university-of-nevada-reno,Reno,NV,,NCAA_D1,,Mountain West,https://nevadawolfpack.com/sports/baseball,4
cmou7y6pk00i9qtoc6no7wm9t,University of New Mexico,university-of-new-mexico,Albuquerque,NM,,NCAA_D1,,Mountain West,https://golobos.com/sports/baseball,4
cmou87s9700m0qt8obe825qvw,University of New Orleans,university-of-new-orleans,New Orleans,LA,,NCAA_D1,,Southland,https://unoprivateers.com/sports/baseball,4
cmou692dm009uqt1gk17ovy4y,University of North Alabama,university-of-north-alabama,Florence,AL,,NCAA_D1,,,https://roarlions.com/sports/baseball,4
cmorihv4u000fqth8xhav3tg9,University of North Carolina at Chapel Hill,university-of-north-carolina-at-chapel-hill,Chapel Hill,NC,,NCAA_D1,,,https://goheels.com/sports/baseball,4
cmou57e7n007lqtdw6grlj0yo,University of North Carolina at Charlotte,university-of-north-carolina-at-charlotte,Charlotte,NC,,NCAA_D1,,,https://charlotte49ers.com/sports/baseball,3
cmou869wi00l6qtjk6ypp1qk6,University of North Carolina at Greensboro,university-of-north-carolina-at-greensboro,Greensboro,NC,,NCAA_D1,,SoCon,https://uncgspartans.com/sports/baseball,4
cmou692f9009xqt1gxdgwjsm8,University of North Florida,university-of-north-florida,Jacksonville,FL,,NCAA_D1,,,https://unfospreys.com/sports/baseball,4
cmosownxt000uqtuozt3yykq9,University of Notre Dame,university-of-notre-dame,Notre Dame,IN,,NCAA_D1,,,https://fightingirish.com/sports/baseball,4
cmosp9qpg0026qtygji5bwcu3,University of Oklahoma,university-of-oklahoma,Norman,OK,,NCAA_D1,,SEC,https://soonersports.com/sports/baseball,3
cmossumsw0043qtpgqq3re2qg,University of Oregon,university-of-oregon,Eugene,OR,,NCAA_D1,,,https://goducks.com/sports/baseball,4
cmou7ektw00eiqtx8aqk8pgdt,University of Pennsylvania,university-of-pennsylvania,Philadelphia,PA,,NCAA_D1,,Ivy League,https://pennathletics.com/sports/baseball,4
cmosownzc000xqtuoxng8rral,University of Pittsburgh,university-of-pittsburgh,Pittsburgh,PA,,NCAA_D1,,,https://pittsburghpanthers.com/sports/baseball,3
cmou8eaal00olqt6ssp9uycb0,University of Portland,university-of-portland,Portland,OR,,NCAA_D1,,West Coast Conference,https://portlandpilots.com/sports/baseball,4
cmou65qee008xqt1o7ljwn00l,University of Rhode Island,university-of-rhode-island,Kingston,RI,,NCAA_D1,,,https://gorhody.com/sports/baseball,4
cmou65qft0090qt1oyy3qt0xa,University of Richmond,university-of-richmond,Richmond,VA,,NCAA_D1,,,https://richmondspiders.com/sports/baseball,4
cmou8eade00orqt6s9lh8sk91,University of San Diego,university-of-san-diego,San Diego,CA,,NCAA_D1,,West Coast Conference,https://usdtoreros.com/sports/baseball,4
cmou8eaey00ouqt6s4q4bojoc,University of San Francisco,university-of-san-francisco,San Francisco,CA,,NCAA_D1,,West Coast Conference,https://usfdons.com/sports/baseball,5
cmou3bzjh006cqtvo0kcr1a9o,University of South Alabama,university-of-south-alabama,Mobile,AL,,NCAA_D1,,Sun Belt,https://usajaguars.com/sports/baseball,4
cmoeilurm0000qtiga2s54ybq,University of South Carolina,university-of-south-carolina,Columbia,SC,,NCAA_D1,,SEC,https://gamecocksonline.com/sports/baseball/,6
cmou57eff0080qtdwllt5e1ya,University of South Florida,university-of-south-florida,Tampa,FL,,NCAA_D1,,,https://gousfbulls.com/sports/baseball,5
cmossumrj0040qtpg5nfsfxij,University of Southern California,university-of-southern-california,Los Angeles,CA,,NCAA_D1,,,https://usctrojans.com/sports/baseball,4
cmou8252500jrqtfovp5vseq1,University of Southern Indiana,university-of-southern-indiana,Evansville,IN,,NCAA_D1,,Ohio Valley,https://usiscreamingeagles.com/sports/baseball,5
cmou3bzky006fqtvotlln2j4q,University of Southern Mississippi,university-of-southern-mississippi,Hattiesburg,MS,,NCAA_D1,,Sun Belt,https://southernmiss.com/sports/baseball,5
cmorirveq001iqtm00tv78mb7,University of Tennessee,university-of-tennessee,Knoxville,TN,,NCAA_D1,,SEC,https://utsports.com/sports/baseball,5
cmou8259h00k6qtfouj8clleo,University of Tennessee at Martin,university-of-tennessee-at-martin,Martin,TN,,NCAA_D1,,Ohio Valley,https://utmsports.com/sports/baseball,4
cmosp9qth002fqtyg9zds0e99,University of Texas,university-of-texas,Austin,TX,,NCAA_D1,,SEC,https://texaslonghorns.com/sports/baseball,4
cmou8ctml00nuqtloo0hli517,University of Texas Arlington,university-of-texas-arlington,Arlington,TX,,NCAA_D1,,WAC,https://utamavs.com/sports/baseball,3
cmou8ctl700nrqtlo4ao723bv,University of Texas Rio Grande Valley,university-of-texas-rio-grande-valley,Edinburg,TX,,NCAA_D1,,WAC,https://goutrgv.com/sports/baseball,4
cmou57el20089qtdwofatlmue,University of Texas at San Antonio,university-of-texas-at-san-antonio,San Antonio,TX,,NCAA_D1,,,https://goutsa.com/sports/baseball,5
cmou7skrx00giqtag4g0n7mer,University of Toledo,university-of-toledo,Toledo,OH,,NCAA_D1,,MAC,https://utrockets.com/sports/baseball,4
cmosun0cp0059qtlgmyvx6gz3,University of Utah,university-of-utah,Salt Lake City,UT,,NCAA_D1,,,https://utahutes.com/sports/baseball,4
cmorirvj4001rqtm0u610tmnb,University of Virginia,university-of-virginia,Charlottesville,VA,,NCAA_D1,,,https://virginiasports.com/sports/baseball,5
cmossumua0046qtpg7kokmi2a,University of Washington,university-of-washington,Seattle,WA,,NCAA_D1,,,https://gohuskies.com/sports/baseball,5
cmou692js00a6qt1g8npxqitj,University of West Georgia,university-of-west-georgia,Carrollton,GA,,NCAA_D1,,,https://uwgathletics.com/sports/baseball,3
cmou7aqlg00drqt444d9q0hb5,University of Wisconsin Milwaukee,university-of-wisconsin-milwaukee,Milwaukee,WI,,NCAA_D1,,Horizon League,https://mkepanthers.com/sports/baseball,5
cmou87s3r00lrqt8ol2e0mlz0,University of the Incarnate Word,university-of-the-incarnate-word,San Antonio,TX,,NCAA_D1,,Southland,https://uiwcardinals.com/sports/baseball,3
cmou8eaho00p0qt6sjg4451ea,University of the Pacific,university-of-the-pacific,Stockton,CA,,NCAA_D1,,West Coast Conference,https://pacifictigers.com/sports/baseball,4
cmou8cttf00o9qtlojvw16fv0,Utah Tech University,utah-tech-university,St. George,UT,,NCAA_D1,,WAC,https://utahtechtrailblazers.com/sports/baseball,4
