slug,programXUrl,programInstagramUrl,recruitingQuestionnaireUrl,recruitsPageUrl,sourceUrl,confidence,verifiedAt,reviewStatus
university-of-wisconsin-milwaukee,https://x.com/MKE_Baseball,https://instagram.com/mke_baseball,,,https://mkepanthers.com/sports/baseball,LOW,,NEEDS_REVIEW
wright-state-university,https://twitter.com/WSURaidergang,https://www.instagram.com/wrightstate_baseball/,http://my.armssoftware.com/arms/public/questionnaire/8d8f645482e9,http://my.armssoftware.com/arms/public/questionnaire/8d8f645482e9,https://wsuraiders.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
youngstown-state-university,https://x.com/ysubaseball,https://instagram.com/ysubaseball,,https://ysusports.com/sports/2022/3/10/recruits-index.aspx,https://ysusports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
brown-university,,,https://questionnaires.armssoftware.com/2d761e9c632d,https://questionnaires.armssoftware.com/2d761e9c632d,https://brownbears.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
columbia-university,,,https://questionnaires.armssoftware.com/1c777b678ee2?_ga=2.259789705.2059882607.1528118765-521111570.1528118765,https://questionnaires.armssoftware.com/1c777b678ee2?_ga=2.259789705.2059882607.1528118765-521111570.1528118765,https://gocolumbialions.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
cornell-university,,,,,https://cornellbigred.com/sports/baseball,LOW,,NO_LINKS_FOUND
dartmouth-college,,,https://questionnaires.armssoftware.com/d2040f72c840,https://questionnaires.armssoftware.com/d2040f72c840,https://dartmouthsports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
harvard-university,https://x.com/HarvardBaseball,https://instagram.com/HarvardBaseball,https://gocrimson.com/sports/2020/5/5/information-recruiting-Recruiting-Questionnaires.aspx,https://gocrimson.com/sports/2020/5/5/information-recruiting-Recruiting-Questionnaires.aspx,https://gocrimson.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
princeton-university,https://twitter.com/putigers,,,https://goprincetontigers.com/sports/2018/9/27/ivy-league-prospective-student-athlete-statement.aspx,https://goprincetontigers.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
university-of-pennsylvania,https://x.com/PennBaseball,https://instagram.com/penn_baseball,https://my.armssoftware.com/arms/public/questionnaire/b5d390bb357d?path=baseball,https://my.armssoftware.com/arms/public/questionnaire/b5d390bb357d?path=baseball,https://pennathletics.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
yale-university,https://x.com/YaleBaseball,https://instagram.com/YaleBaseball,,,https://yalebulldogs.com/sports/baseball,LOW,,NEEDS_REVIEW
canisius-university,https://x.com/GriffsBaseball,https://instagram.com/griffsbaseball,,,https://gogriffs.com/sports/baseball,LOW,,NEEDS_REVIEW
fairfield-university,https://x.com/Stags_Base,https://instagram.com/stags_baseball,,,https://fairfieldstags.com/sports/baseball,LOW,,NEEDS_REVIEW
manhattan-university,https://x.com/JaspersBaseball,https://instagram.com/jaspersbaseball,https://gojaspers.com/sports/2017/7/31/prospective-student-athlete-questionnaires.aspx,https://gojaspers.com/sports/2017/7/31/prospective-student-athlete-questionnaires.aspx,https://gojaspers.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
marist-university,https://x.com/Marist_BSB,https://instagram.com/Marist_bsb,https://goredfoxes.com/documents/2017/6/6/S_A_Questionnaire.pdf,http://www.ncaa.org/student-athletes/resources/recruiting-calendars?division=d1,https://goredfoxes.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
mount-st-marys-university,https://x.com/Mount_BSB,https://instagram.com/Mount_BSB,https://my.armssoftware.com/arms/public/questionnaire/74d9279c9db8,https://my.armssoftware.com/arms/public/questionnaire/74d9279c9db8,https://mountathletics.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
niagara-university,https://x.com/NiagaraBASE,https://instagram.com/niagarabase,,,https://purpleeagles.com/sports/baseball,LOW,,NEEDS_REVIEW
quinnipiac-university,,,http://my.armssoftware.com/arms/public/questionnaire/a3515ddebe74,http://my.armssoftware.com/arms/public/questionnaire/a3515ddebe74,https://gobobcats.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
rider-university,,,,,https://gobroncs.com/sports/baseball,LOW,,NO_LINKS_FOUND
sacred-heart-university,,,https://questionnaires.armssoftware.com/d95cdfc6b394,https://questionnaires.armssoftware.com/d95cdfc6b394,https://sacredheartpioneers.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
saint-peters-university,https://x.com/PeacocksBASE,https://instagram.com/PeacocksBASE,,,https://saintpeterspeacocks.com/sports/baseball,LOW,,NEEDS_REVIEW
siena-college,https://x.com/SienaBaseball,https://instagram.com/siena_baseball,https://sienasaints.com/sports/2021/8/3/recruiting-forms.aspx,https://sienasaints.com/sports/2021/8/3/recruiting-forms.aspx,https://sienasaints.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
ball-state-university,,https://www.instagram.com/ballstatebb,http://my.armssoftware.com/arms/public/questionnaire/d561871c1662,http://my.armssoftware.com/arms/public/questionnaire/d561871c1662,https://ballstatesports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
bowling-green-state-university,https://twitter.com/BGSU_Baseball,https://instagram.com/bgfalcons/,https://my.armssoftware.com/arms/public/questionnaire/bcb890208175,https://my.armssoftware.com/arms/public/questionnaire/bcb890208175,https://bgsufalcons.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
central-michigan-university,https://x.com/CMUBaseball,https://instagram.com/cmubaseball,http://my.armssoftware.com/arms/public/questionnaire/310619e1b3c6,http://my.armssoftware.com/arms/public/questionnaire/310619e1b3c6,https://cmuchippewas.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
eastern-michigan-university,,,http://my.armssoftware.com/arms/public/questionnaire/bb8389b142dd?path=baseball,http://my.armssoftware.com/arms/public/questionnaire/bb8389b142dd?path=baseball,https://emueagles.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
kent-state-university,,,http://college.jumpforward.com/questionnaire.aspx?iid=339&amp;sportid=16,http://college.jumpforward.com/questionnaire.aspx?iid=339&amp;sportid=16,https://kentstatesports.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
miami-university,,,http://my.armssoftware.com/arms/public/questionnaire/43e111d5cebf,http://my.armssoftware.com/arms/public/questionnaire/43e111d5cebf,https://miamiredhawks.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
unc-pembroke,https://x.com/UNCP_BSB,https://instagram.com/uncp_bsb,https://uncpbraves.com/sports/2016/6/29/questionnaires,https://uncpbraves.com/sports/2023/1/12/for-recruits.aspx,https://uncpbraves.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
barton-college,,,,https://bartonbulldogs.com/sports/2020/7/13/recruits-baseball.aspx,https://bartonbulldogs.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
belmont-abbey-college,,,,https://abbeyathletics.com/sports/2020/7/13/recruits-recruit-central.aspx,https://abbeyathletics.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
erskine-college,https://x.com/FleetBaseball,https://instagram.com/erskinebaseball,,,https://erskinesports.com/sports/baseball,LOW,,NEEDS_REVIEW
francis-marion-university,https://x.com/fmupatsbaseball,https://instagram.com/fmu_baseball,,,https://fmupatriots.com/sports/baseball,LOW,,NEEDS_REVIEW
lees-mcrae-college,,,,https://lmcbobcats.com/sports/2020/6/22/recruiting-index.aspx,https://lmcbobcats.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
mount-olive-university,https://x.com/UMOBaseball,https://instagram.com/umobaseball,https://questionnaires.armssoftware.com/e7ebe73c445c,https://questionnaires.armssoftware.com/e7ebe73c445c,https://umotrojans.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
north-greenville-university,,,,https://nguathletics.com/sports/2026/4/9/get-recruited.aspx,https://nguathletics.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
southern-wesleyan-university,https://x.com/SWUBaseball,https://instagram.com/swubaseball,,,https://swuathletics.com/sports/baseball,LOW,,NEEDS_REVIEW
lander-university,https://x.com/Lander_BSB,https://instagram.com/landerbaseball,,,https://landerbearcats.com/sports/baseball,LOW,,NEEDS_REVIEW
uva-wise,,,https://my.armssoftware.com/arms/public/questionnaire/2d45b7026b81,https://my.armssoftware.com/arms/public/questionnaire/2d45b7026b81,https://uvawisecavs.com/sports/baseball,MEDIUM,,NEEDS_REVIEW
anderson-university-sc,https://x.com/AUTrojansbsbl,https://instagram.com/autrojansbaseball,,,https://autrojans.com/sports/baseball,LOW,,NEEDS_REVIEW
